,mean_test_score,std_test_score,mean_train_score,std_train_score,kneighborsregressor__weights,kneighborsregressor__n_neighbors
0,0.4611375592350974,0.017519312738382246,1.0,0.0,distance,25
1,0.3200961325696741,0.023351406831367622,0.36400596024589527,0.007937546955023257,distance,25
2,0.3115966379277425,0.017624524673509494,0.3432472734077867,0.007072802983927593,distance,25
3,0.4653528477745435,0.019187203668582575,1.0,0.0,distance,25
4,0.4645211518145965,0.019601098495192027,1.0,0.0,distance,25
5,0.3253870218317851,0.01941431871894627,0.3852442325611243,0.007046762140471462,distance,25
6,0.46516350583569094,0.021560491893899355,1.0,0.0,distance,25
7,0.4582099762154194,0.014662163239398052,1.0,0.0,distance,25
8,0.31633061494137743,0.020421204261155977,0.3582882566753824,0.007309803982296775,distance,25
9,0.4353436912452741,0.017733976640103316,1.0,0.0,distance,25
